title,carpet_area,price
"3 BHK Villa for Sale in Oro County, Jankipuram",1515 sqft,₹87.6 Lac
"3 BHK Flat for Sale Inaaya Royal Heights, in Gomti Nagar Extension Road ",2085 sqft,₹1.25 Cr
"2 BHK Flat for Sale Arsha Sumangalam, in Vrindavan Yojana ",949 sqft,₹52.8 Lac
"2 BHK Villa for Sale in Halwasiya Shivlar Sambandh, New Jail Road",422 sqft,₹25 Lac
"3 BHK Villa for Sale in Aasra Home, Kanpur road",1950 sqft,₹52 Lac
"3 BHK Flat for Sale Rishita Mulberry Heights, in Sushant Golf City ",2250 sqft,₹1.34 Cr
"2 BHK House for Sale in Taj Enclave, Mohan Road",600 sqft,₹23.6 Lac
"2 BHK Flat for Sale Dolphin Enclave, in Faizabad Road ",1210 sqft,₹36.3 Lac
"1 BHK Flat for Sale Madhav Residency, in Kisan Path ",632 sqft,₹23.5 Lac
"2 BHK Flat for Sale BCC Blue Mountain, in Raibareli road ",1100 sqft,₹49 Lac
"2 BHK Villa for Sale in Kalpana Residency, Mohanlalganj",1000 sqft,₹29.9 Lac
"2 BHK Flat for Sale Celebrity Meadows, in Sushant Golf City ",1400 sqft,₹58.8 Lac
"2 BHK Flat for Sale Excella Kutumb, in Sultanpur Road ",900 sqft,₹29.3 Lac
"2 BHK Flat for Sale Shivalik Tower, in Ganeshpur Rahmanpur ",1020 sqft,₹45.4 Lac
"2 BHK Villa for Sale in Oro County, Jankipuram",771 sqft,₹69.4 Lac
"2 BHK Flat for Sale 1OAK Natura, in Shaheed Path ",1440 sqft,₹60 Lac
"2 BHK House for Sale in Crown Villas, Faizabad Road",890 sqft,₹56 Lac
"3 BHK Villa for Sale in Mayfair Villas, Faizabad Road",1900 sqft,₹65.6 Lac
"2 BHK House for Sale in Yash Park City, Faizabad Road",980 sqft,₹47 Lac
"3 BHK Flat for Sale Azea Botanica, in Vrindavan Yojana ",913 sqft,₹80 Lac
"2 BHK Flat for Sale BBD Green City Lotus Court, in Faizabad Road ",700 sqft,₹37 Lac
"2 BHK Villa for Sale in Grah Enclave Phase 6, Faizabad Road",800 sqft,₹40 Lac
"3 BHK Flat for Sale MJ Lifespaces Park Square, in Indira Nagar ",2600 sqft,₹1.19 Cr
 Studio Apartment for Sale in Kalli Pashchim ,299 sqft,₹30 Lac
"3 BHK Flat for Sale Ansal API Celebrity Garden Block P, in Sushant Golf City ",1820 sqft,₹72.8 Lac
"3 BHK Flat for Sale Eldeco Twin Towers, in I I M Road ",1001 sqft,₹69.1 Lac
"4 BHK Flat for Sale Experion Capital, in Vibhuti Khand ",1346 sqft,₹1.78 Cr
3 BHK House for Sale in BBD Green City,1100 sqft,₹55 Lac
"3 BHK Flat for Sale Shalimar Mannat, in Faizabad Road ",942 sqft,₹58.1 Lac
"4 BHK Flat for Sale Excella Kutumb, in Sultanpur Road ",1300 sqft,₹64 Lac
